,Suburb,Latitude,Longitude,SSC_Code
94,"Cabramatta West, Sydney",-33.8916949,150.914639,SSC10741
95,"Cabramatta, Sydney",-33.8983188,150.9344502,SSC10740
96,"Caddens, Sydney",-33.773603,150.7288643,SSC10743
97,"Cambridge Gardens, Sydney",-33.7377967,150.7205556,SSC10767
98,"Cambridge Park, Sydney",-33.7501365,150.7269025,SSC10768
99,"Camden South, Sydney",-34.0829554,150.6966472,SSC10773
100,"Camden, Sydney",-34.0532323,150.6961705,SSC10770
101,"Camellia, Sydney",-33.8197799,151.0346488,SSC10774
102,"Cammeray, Sydney",-33.8222738,151.2139868,SSC10778
103,"Campbelltown, Sydney",-34.0636914,150.8206159,SSC10780
104,"Camperdown, Sydney",-33.8896116,151.1800986,SSC10781
105,"Campsie, Sydney",-33.9143894,151.1032133,SSC10782
106,"Canada Bay, Sydney",-33.8646692,151.1151554,SSC10785
107,"Canley Heights, Sydney",-33.8816667,150.9261111,SSC10791
108,"Canley Vale, Sydney",-33.8871356,150.9462342,SSC10792
109,"Canoelands, Sydney",-33.4990952,151.0807415,SSC10794
110,"Canterbury, Sydney",-33.9130231,151.1170149,SSC10797
111,"Caringbah South, Sydney",-34.0554491,151.1205937,SSC10816
112,"Carlingford, Sydney",-33.7744947,151.0475215,SSC10818
113,"Carlton, Sydney",-33.9707904,151.1213704,SSC10819
114,"Carnes Hill, Sydney",-33.9378294,150.8504602,SSC10820
115,"Carramar, Sydney",-33.8838889,150.9636111,SSC10826
116,"Carss Park, Sydney",-33.9869843,151.1169446,SSC10837
117,"Cartwright, Sydney",-33.9250864,150.8913549,SSC10838
118,"Castle Cove, Sydney",-33.7865285,151.2143187,SSC10845
119,"Castle Hill, Sydney",-33.7315318,151.0071718,SSC10847
120,"Castlecrag, Sydney",-33.8003455,151.2197795,SSC10849
121,"Castlereagh, Sydney",-33.6647962,150.6844521,SSC10850
122,"Casula, Sydney",-33.9522222,150.8952778,SSC10852
123,"Catherine Field, Sydney",-33.9926657,150.7650245,SSC10856
124,"Cattai, Sydney",-33.5482394,150.9164045,SSC10859
125,"Cawdor, Sydney",-34.0996474,150.6726512,SSC10863
126,"Cecil Hills, Sydney",-33.89,150.8511111,SSC10865
127,"Cecil Park, Sydney",-33.8922547,150.8135524,SSC10866
128,"Centennial Park, Sydney",-33.8977778,151.2338889,SSC10873
129,"Chatswood West, Sydney",-33.7960029,151.1597081,SSC10893
130,"Chatswood, Sydney",-33.7944797,151.1818571,SSC10892
131,"Cheltenham, Sydney",-33.7569444,151.0775,SSC10896
132,"Cherrybrook, Sydney",-33.7227778,151.0461111,SSC10898
